Airline Name,Flight Number,Plane Model,Boarding Time,Departure Time,Gate Number,Destination
Porter Airlines,PD713,Embraer E190,23:58:00,00:00:00,4,Ottawa
Air Canada,PD547,ATR 72,23:56:00,00:00:00,3,Chicago
Air Canada,PD139,Embraer E190,23:59:00,00:01:00,6,Boston
Air Canada,PD128,ATR 72,23:59:00,00:01:00,3,Washington
Air Canada,PD839,ATR 72,23:59:00,00:02:00,5,Chicago
Air Canada,PD604,ATR 72,23:58:00,00:02:00,3,Ottawa
Air Canada,PD849,Embraer E190,23:59:00,00:03:00,4,Washington
WestJet,PD294,ATR 72,23:59:00,00:03:00,5,Ottawa
Porter Airlines,PD242,ATR 72,00:01:00,00:04:00,5,Montreal
Porter Airlines,PD809,Embraer E190,00:02:00,00:04:00,4,Washington
Air Canada,PD804,Embraer E190,00:04:00,00:05:00,4,Boston
Porter Airlines,PD931,ATR 72,00:01:00,00:05:00,1,Montreal
Air Canada,PD123,Embraer E190,00:03:00,00:06:00,2,Ottawa
Air Canada,PD275,Embraer E190,00:04:00,00:06:00,6,New York
WestJet,PD794,Embraer E190,00:06:00,00:07:00,6,Montreal
Porter Airlines,PD928,ATR 72,00:04:00,00:07:00,3,Ottawa
Porter Airlines,PD779,Embraer E190,00:04:00,00:08:00,2,Chicago
Air Canada,PD965,ATR 72,00:07:00,00:08:00,5,Ottawa
Air Canada,PD624,ATR 72,00:08:00,00:09:00,3,Washington
Porter Airlines,PD789,Embraer E190,00:05:00,00:09:00,2,Washington
Air Canada,PD242,Embraer E190,00:09:00,00:10:00,4,New York
Air Canada,PD525,ATR 72,00:06:00,00:10:00,5,Chicago
Porter Airlines,PD276,ATR 72,00:07:00,00:11:00,3,Boston
WestJet,PD894,Embraer E190,00:07:00,00:11:00,2,Boston
WestJet,PD322,ATR 72,00:11:00,00:12:00,5,Washington
Air Canada,PD393,ATR 72,00:11:00,00:12:00,3,New York
Air Canada,PD591,Embraer E190,00:12:00,00:13:00,4,New York
WestJet,PD291,Embraer E190,00:09:00,00:13:00,6,Washington
Porter Airlines,PD493,ATR 72,00:11:00,00:14:00,5,Chicago
WestJet,PD492,Embraer E190,00:12:00,00:14:00,2,New York
Porter Airlines,PD890,ATR 72,00:12:00,00:15:00,1,Chicago
Air Canada,PD643,Embraer E190,00:11:00,00:15:00,4,Washington
Air Canada,PD125,Embraer E190,00:12:00,00:16:00,2,Ottawa
Porter Airlines,PD428,ATR 72,00:15:00,00:16:00,3,Washington
Air Canada,PD200,Embraer E190,00:13:00,00:17:00,4,Montreal
Air Canada,PD848,Embraer E190,00:15:00,00:17:00,2,Boston
Air Canada,PD727,Embraer E190,00:17:00,00:18:00,2,Washington
WestJet,PD271,ATR 72,00:16:00,00:18:00,3,Washington
Porter Airlines,PD962,ATR 72,00:17:00,00:19:00,3,New York
WestJet,PD243,ATR 72,00:18:00,00:19:00,5,Chicago
Porter Airlines,PD843,Embraer E190,00:16:00,00:20:00,4,Montreal
Porter Airlines,PD776,Embraer E190,00:17:00,00:20:00,6,Boston
WestJet,PD236,Embraer E190,00:20:00,00:21:00,4,Boston
Air Canada,PD559,Embraer E190,00:18:00,00:21:00,6,Washington
Air Canada,PD263,ATR 72,00:20:00,00:22:00,5,Chicago
Air Canada,PD685,ATR 72,00:21:00,00:22:00,1,New York
Air Canada,PD287,Embraer E190,00:20:00,00:23:00,6,Washington
Air Canada,PD372,ATR 72,00:20:00,00:23:00,5,Montreal
Air Canada,PD553,Embraer E190,00:23:00,00:24:00,2,Boston
WestJet,PD246,Embraer E190,00:20:00,00:24:00,6,Chicago
Air Canada,PD708,Embraer E190,00:23:00,00:25:00,2,Washington
WestJet,PD677,ATR 72,00:21:00,00:25:00,1,Boston
Air Canada,PD533,Embraer E190,00:23:00,00:26:00,2,New York
WestJet,PD416,ATR 72,00:23:00,00:26:00,3,Ottawa
WestJet,PD448,Embraer E190,00:25:00,00:27:00,4,New York
WestJet,PD407,ATR 72,00:23:00,00:27:00,5,Montreal
Porter Airlines,PD438,ATR 72,00:24:00,00:28:00,3,Chicago
WestJet,PD509,Embraer E190,00:27:00,00:28:00,4,Washington
Porter Airlines,PD562,ATR 72,00:25:00,00:29:00,3,Ottawa
WestJet,PD490,Embraer E190,00:27:00,00:29:00,4,New York
Porter Airlines,PD871,ATR 72,00:26:00,00:30:00,3,Boston
Air Canada,PD897,ATR 72,00:26:00,00:30:00,5,Washington
Air Canada,PD713,ATR 72,00:28:00,00:31:00,3,Chicago
WestJet,PD870,ATR 72,00:30:00,00:31:00,1,Ottawa
WestJet,PD382,Embraer E190,00:31:00,00:32:00,6,Washington
Air Canada,PD984,ATR 72,00:31:00,00:32:00,1,Boston
Porter Airlines,PD663,ATR 72,00:30:00,00:33:00,5,Montreal
WestJet,PD248,ATR 72,00:29:00,00:33:00,1,Ottawa
WestJet,PD227,Embraer E190,00:30:00,00:34:00,6,New York
Air Canada,PD506,Embraer E190,00:30:00,00:34:00,2,Chicago
Porter Airlines,PD218,Embraer E190,00:31:00,00:35:00,4,Montreal
Porter Airlines,PD261,Embraer E190,00:33:00,00:35:00,6,Washington
Porter Airlines,PD645,Embraer E190,00:34:00,00:36:00,2,Boston
WestJet,PD192,ATR 72,00:33:00,00:36:00,5,New York
Air Canada,PD232,Embraer E190,00:35:00,00:37:00,6,Montreal
WestJet,PD513,Embraer E190,00:36:00,00:37:00,4,Boston
Air Canada,PD110,Embraer E190,00:35:00,00:38:00,4,Boston
WestJet,PD220,Embraer E190,00:36:00,00:38:00,6,New York
WestJet,PD208,ATR 72,00:36:00,00:39:00,5,Boston
WestJet,PD623,Embraer E190,00:36:00,00:39:00,6,Washington
Air Canada,PD204,Embraer E190,00:38:00,00:40:00,2,Boston
WestJet,PD803,ATR 72,00:36:00,00:40:00,1,Chicago
Air Canada,PD644,ATR 72,00:37:00,00:41:00,3,Washington
Air Canada,PD104,ATR 72,00:40:00,00:41:00,5,Ottawa
Air Canada,PD976,ATR 72,00:38:00,00:42:00,5,Washington
WestJet,PD857,Embraer E190,00:40:00,00:42:00,6,Ottawa
WestJet,PD496,Embraer E190,00:42:00,00:43:00,2,Montreal
